"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","38.7","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","37.3","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","41.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","5665","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","6099","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","6122","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","6060","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","5906","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","6572","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","15.6","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","15.6","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","14.4","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","13.7","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","13.4","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","13.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2400","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2421","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2241","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2152","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2124","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2156","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","46.8","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","45.6","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","47.7","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","46.4","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","50.5","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","46.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7387","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7198","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7637","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7430","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","8091","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7478","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","36.9","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","37.9","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","36.3","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","37.7","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","35.4","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","39.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","5817","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","5995","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","5805","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","6050","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","5671","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","6376","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","16.3","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","16.5","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","16.0","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","15.9","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","14.1","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","14.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2577","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2605","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2556","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2547","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2253","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2278","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","51.8","","","","1"
"2021-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","48.9","","","","1"
"2022-01","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","50.4","","","","1"
"2022-04","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","54.8","","","","1"
"2022-07","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","57.4","","","","1"
"2022-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411278","2.2.1.1","55.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","519","","","","0"
"2021-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","498","","","","0"
"2022-01","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","513","","","","0"
"2022-04","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","564","","","","0"
"2022-07","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","595","","","","0"
"2022-10","Atlantic Region","2016A00011","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411281","2.2.1.4","576","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","29.7","","","","1"
"2021-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","35.2","","","","1"
"2022-01","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","35.2","","","","1"
"2022-04","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","30.0","","","","1"
"2022-07","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","31.5","","","","1"
"2022-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411284","2.2.2.1","29.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","297","","","","0"
"2021-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","359","","","","0"
"2022-01","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","358","","","","0"
"2022-04","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","309","","","","0"
"2022-07","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","327","","","","0"
"2022-10","Atlantic Region","2016A00011","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411287","2.2.2.4","311","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","18.5","","","","1"
"2021-10","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","15.9","","","","1"
"2022-01","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","14.3","","","","1"
"2022-04","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","15.2","","","","1"
"2022-07","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","11.1","","","","1"
"2022-10","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411290","2.2.3.1","15.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","185","","","","0"
"2021-10","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","162","","","","0"
"2022-01","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","145","E","","","0"
"2022-04","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","156","","","","0"
"2022-07","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","115","E","","","0"
"2022-10","Atlantic Region","2016A00011","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411293","2.2.3.4","161","E","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","49.8","","","","1"
"2021-10","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","49.4","","","","1"
"2022-01","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","48.2","","","","1"
"2022-04","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","51.7","","","","1"
"2022-07","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","51.1","","","","1"
"2022-10","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411296","2.3.1.1","54.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","524","","","","0"
"2021-10","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","517","","","","0"
"2022-01","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","513","","","","0"
"2022-04","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","551","","","","0"
"2022-07","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","549","","","","0"
"2022-10","Atlantic Region","2016A00011","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411299","2.3.1.4","579","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","31.8","","","","1"
"2021-10","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","36.7","","","","1"
"2022-01","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","33.8","","","","1"
"2022-04","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","31.2","","","","1"
"2022-07","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","32.1","","","","1"
"2022-10","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411302","2.3.2.1","33.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","335","","","","0"
"2021-10","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","385","","","","0"
"2022-01","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","360","","","","0"
"2022-04","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","333","","","","0"
"2022-07","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","344","","","","0"
"2022-10","Atlantic Region","2016A00011","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411305","2.3.2.4","359","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","18.4","","","","1"
"2021-10","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","13.9","","","","1"
"2022-01","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","18.0","","","","1"
"2022-04","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","17.1","","","","1"
"2022-07","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","16.8","","","","1"
"2022-10","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411308","2.3.3.1","12.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","194","","","","0"
"2021-10","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","146","","","","0"
"2022-01","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","192","","","","0"
"2022-04","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","183","","","","0"
"2022-07","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","181","","","","0"
"2022-10","Atlantic Region","2016A00011","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411311","2.3.3.4","133","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","52.0","","","","1"
"2021-10","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","54.1","","","","1"
"2022-01","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","55.0","","","","1"
"2022-04","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","61.0","","","","1"
"2022-07","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","56.4","","","","1"
"2022-10","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411332","3.2.1.1","59.9","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","111","E","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","119","E","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","120","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","133","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","125","E","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411335","3.2.1.4","133","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411338","3.2.2.1","33.3","","","","1"
"2021-10","Newfoundland and Labrador","2016A000210","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411338","3.2.2.1","28.4","","","","1"
"2022-01","Newfoundland and Labrador","2016A000210","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411338","3.2.2.1","29.4","","","","1"
"2022-04","Newfoundland and Labrador","2016A000210","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411338","3.2.2.1","24.0","","","","1"
"2022-07","Newfoundland and Labrador","2016A000210","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411338","3.2.2.1","30.6","","","","1"
