"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110788362","1.2.2.14.1","53800","E","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Mood disorder","Percent","Percent","239","units","0","v110788365","1.2.2.14.4","2.5","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Mood disorder","Percent","Percent","239","units","0","v110788365","1.2.2.14.4","4.3","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Anxiety disorder","Number of persons","Number","223","units","0","v1574189482","1.2.2.30.1","111900","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Anxiety disorder","Percent","Percent","239","units","0","v1574189485","1.2.2.30.4","9.0","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","15700","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788369","1.2.2.15.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","1.3","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788372","1.2.2.15.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788376","1.2.2.16.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Current smoker, daily","Percent","Percent","239","units","0","v110788379","1.2.2.16.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949409","1.2.2.28.1","108400","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949409","1.2.2.28.1","86600","E","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Cannabis use, past 12 months","Percent","Percent","239","units","0","v1390949412","1.2.2.28.4","9.2","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Cannabis use, past 12 months","Percent","Percent","239","units","0","v1390949412","1.2.2.28.4","7.1","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949417","1.2.2.29.1","13800","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949417","1.2.2.29.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1390949420","1.2.2.29.4","1.2","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1390949420","1.2.2.29.4","0.6","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Ever used e-cigarette or vaping device","Number of persons","Number","223","units","0","v1574189490","1.2.2.31.1","148500","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Ever used e-cigarette or vaping device","Percent","Percent","239","units","0","v1574189493","1.2.2.31.4","12.1","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Used e-cigarette or vaping device, past 30 days","Number of persons","Number","223","units","0","v1574189498","1.2.2.32.1","51800","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Used e-cigarette or vaping device, past 30 days","Percent","Percent","239","units","0","v1574189501","1.2.2.32.4","4.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110788383","1.2.2.17.1","45300","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110788383","1.2.2.17.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Heavy drinking","Percent","Percent","239","units","0","v110788386","1.2.2.17.4","3.7","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Heavy drinking","Percent","Percent","239","units","0","v110788386","1.2.2.17.4","3.0","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110788397","1.2.2.19.1","616600","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110788397","1.2.2.19.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110788400","1.2.2.19.4","54.0","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110788400","1.2.2.19.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110788418","1.2.2.22.1","227600","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110788418","1.2.2.22.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent","239","units","0","v110788421","1.2.2.22.4","20.1","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent","239","units","0","v110788421","1.2.2.22.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110788425","1.2.2.23.1","1000500","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110788425","1.2.2.23.1","979500","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent","239","units","0","v110788428","1.2.2.23.4","85.4","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent","239","units","0","v110788428","1.2.2.23.4","78.4","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110788432","1.2.2.24.1","1152900","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110788432","1.2.2.24.1","1168800","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Life satisfaction, satisfied or very satisfied","Percent","Percent","239","units","0","v110788435","1.2.2.24.4","97.6","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Life satisfaction, satisfied or very satisfied","Percent","Percent","239","units","0","v110788435","1.2.2.24.4","93.6","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110788439","1.2.2.25.1","1023600","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110788439","1.2.2.25.1","1088300","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Has a regular healthcare provider","Percent","Percent","239","units","0","v110788442","1.2.2.25.4","85.1","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Has a regular healthcare provider","Percent","Percent","239","units","0","v110788442","1.2.2.25.4","87.5","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110788446","1.2.2.26.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110788446","1.2.2.26.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Contact with a medical doctor in the past 12 months","Percent","Percent","239","units","0","v110788449","1.2.2.26.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Contact with a medical doctor in the past 12 months","Percent","Percent","239","units","0","v110788449","1.2.2.26.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340643","1.2.2.27.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340643","1.2.2.27.1","281600","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Influenza immunization in the past 12 months","Percent","Percent","239","units","0","v123340646","1.2.2.27.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Influenza immunization in the past 12 months","Percent","Percent","239","units","0","v123340646","1.2.2.27.4","22.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788453","1.2.3.1.1","810500","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788453","1.2.3.1.1","836200","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","68.7","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","70.1","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788460","1.2.3.2.1","70400","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788460","1.2.3.2.1","75800","E","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v110788463","1.2.3.2.4","6.0","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v110788463","1.2.3.2.4","6.4","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788467","1.2.3.3.1","597100","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788467","1.2.3.3.1","560400","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v110788470","1.2.3.3.4","52.2","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v110788470","1.2.3.3.4","47.1","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788474","1.2.3.4.1","188700","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788474","1.2.3.4.1","250300","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v110788477","1.2.3.4.4","16.5","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v110788477","1.2.3.4.4","21.0","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788481","1.2.3.5.1","241300","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788481","1.2.3.5.1","257900","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v110788484","1.2.3.5.4","20.5","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v110788484","1.2.3.5.4","22.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110788502","1.2.3.8.1","218900","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110788502","1.2.3.8.1","290400","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent","239","units","0","v110788505","1.2.3.8.4","21.7","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent","239","units","0","v110788505","1.2.3.8.4","27.0","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788509","1.2.3.9.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788509","1.2.3.9.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Arthritis (15 years and over)","Percent","Percent","239","units","0","v110788512","1.2.3.9.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Arthritis (15 years and over)","Percent","Percent","239","units","0","v110788512","1.2.3.9.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Diabetes","Number of persons","Number","223","units","0","v110788516","1.2.3.10.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Diabetes","Number of persons","Number","223","units","0","v110788516","1.2.3.10.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Diabetes","Percent","Percent","239","units","0","v110788519","1.2.3.10.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Diabetes","Percent","Percent","239","units","0","v110788519","1.2.3.10.4","1.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Asthma","Number of persons","Number","223","units","0","v110788523","1.2.3.11.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Asthma","Number of persons","Number","223","units","0","v110788523","1.2.3.11.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Asthma","Percent","Percent","239","units","0","v110788526","1.2.3.11.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Asthma","Percent","Percent","239","units","0","v110788526","1.2.3.11.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788530","1.2.3.12.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788530","1.2.3.12.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent","239","units","0","v110788533","1.2.3.12.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent","239","units","0","v110788533","1.2.3.12.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","High blood pressure","Number of persons","Number","223","units","0","v110788537","1.2.3.13.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","High blood pressure","Number of persons","Number","223","units","0","v110788537","1.2.3.13.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","High blood pressure","Percent","Percent","239","units","0","v110788540","1.2.3.13.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","High blood pressure","Percent","Percent","239","units","0","v110788540","1.2.3.13.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Mood disorder","Number of persons","Number","223","units","0","v110788544","1.2.3.14.1","103200","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Mood disorder","Number of persons","Number","223","units","0","v110788544","1.2.3.14.1","135300","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Mood disorder","Percent","Percent","239","units","0","v110788547","1.2.3.14.4","8.8","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Mood disorder","Percent","Percent","239","units","0","v110788547","1.2.3.14.4","11.4","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Anxiety disorder","Number of persons","Number","223","units","0","v1574189556","1.2.3.30.1","252600","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Anxiety disorder","Percent","Percent","239","units","0","v1574189559","1.2.3.30.4","21.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","11200","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788551","1.2.3.15.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","1.0","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110788554","1.2.3.15.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110788558","1.2.3.16.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Current smoker, daily","Percent","Percent","239","units","0","v110788561","1.2.3.16.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949425","1.2.3.28.1","100400","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949425","1.2.3.28.1","86700","E","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Cannabis use, past 12 months","Percent","Percent","239","units","0","v1390949428","1.2.3.28.4","8.8","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Cannabis use, past 12 months","Percent","Percent","239","units","0","v1390949428","1.2.3.28.4","7.5","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949433","1.2.3.29.1","13900","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949433","1.2.3.29.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1390949436","1.2.3.29.4","1.2","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1390949436","1.2.3.29.4","1.0","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Females","Ever used e-cigarette or vaping device","Number of persons","Number","223","units","0","v1574189564","1.2.3.31.1","188200","","","","0"
