"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132218","1.9.6.1","1456","B","","","0"
"2022","Canada","2021A000011124","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132218","1.9.6.1","1912","A","","","0"
"2021","Canada","2021A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","7.7","B","","","1"
"2022","Canada","2021A000011124","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132219","1.9.6.2","10.0","A","","","1"
"2021","Canada","2021A000011124","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132221","1.10.6.1","236","D","","","0"
"2022","Canada","2021A000011124","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132221","1.10.6.1","359","B","","","0"
"2021","Canada","2021A000011124","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132222","1.10.6.2","6.6","D","","","1"
"2022","Canada","2021A000011124","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132222","1.10.6.2","9.9","B","","","1"
"2021","Canada","2021A000011124","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132224","1.11.6.1","994","B","","","0"
"2022","Canada","2021A000011124","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132224","1.11.6.1","1312","A","","","0"
"2021","Canada","2021A000011124","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132225","1.11.6.2","8.5","B","","","1"
"2022","Canada","2021A000011124","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132225","1.11.6.2","11.2","A","","","1"
"2021","Canada","2021A000011124","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132227","1.12.6.1","226","C","","","0"
"2022","Canada","2021A000011124","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132227","1.12.6.1","241","B","","","0"
"2021","Canada","2021A000011124","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132228","1.12.6.2","6.1","C","","","1"
"2022","Canada","2021A000011124","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132228","1.12.6.2","6.3","B","","","1"
"2021","Canada","2021A000011124","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132230","1.13.6.1","1377","C","","","0"
"2022","Canada","2021A000011124","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132230","1.13.6.1","2090","A","","","0"
"2021","Canada","2021A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","4.4","C","","","1"
"2022","Canada","2021A000011124","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132231","1.13.6.2","6.6","A","","","1"
"2021","Canada","2021A000011124","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132269","1.26.6.1","1385","B","","","0"
"2022","Canada","2021A000011124","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132269","1.26.6.1","1682","A","","","0"
"2021","Canada","2021A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","21.9","B","","","1"
"2022","Canada","2021A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","26.0","A","","","1"
"2021","Atlantic provinces","2021A00011","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132296","2.1.6.1","188","C","","","0"
"2022","Atlantic provinces","2021A00011","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132296","2.1.6.1","282","A","","","0"
"2021","Atlantic provinces","2021A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","7.8","C","","","1"
"2022","Atlantic provinces","2021A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","11.5","A","","","1"
"2021","Atlantic provinces","2021A00011","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132299","2.2.6.1","30","D","","","0"
"2022","Atlantic provinces","2021A00011","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132299","2.2.6.1","52","C","","","0"
"2021","Atlantic provinces","2021A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","7.1","D","","","1"
"2022","Atlantic provinces","2021A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","12.1","C","","","1"
"2021","Atlantic provinces","2021A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132302","2.3.6.1","122","C","","","0"
"2022","Atlantic provinces","2021A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132302","2.3.6.1","183","A","","","0"
"2021","Atlantic provinces","2021A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","8.4","C","","","1"
"2022","Atlantic provinces","2021A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","12.4","A","","","1"
"2021","Atlantic provinces","2021A00011","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132305","2.4.6.1","36","D","","","0"
"2022","Atlantic provinces","2021A00011","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132305","2.4.6.1","47","B","","","0"
"2021","Atlantic provinces","2021A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","6.8","D","","","1"
"2022","Atlantic provinces","2021A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","8.5","B","","","1"
"2021","Atlantic provinces","2021A00011","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132308","2.5.6.1","80","C","","","0"
"2022","Atlantic provinces","2021A00011","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132308","2.5.6.1","134","B","","","0"
"2021","Atlantic provinces","2021A00011","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132309","2.5.6.2","6.7","C","","","1"
"2022","Atlantic provinces","2021A00011","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132309","2.5.6.2","11.1","B","","","1"
"2021","Atlantic provinces","2021A00011","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132311","2.6.6.1","13","D","","","0"
"2022","Atlantic provinces","2021A00011","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132311","2.6.6.1","27","C","","","0"
"2021","Atlantic provinces","2021A00011","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132312","2.6.6.2","6.0","D","","","1"
"2022","Atlantic provinces","2021A00011","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132312","2.6.6.2","12.4","C","","","1"
"2021","Atlantic provinces","2021A00011","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132314","2.7.6.1","52","C","","","0"
"2022","Atlantic provinces","2021A00011","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132314","2.7.6.1","88","B","","","0"
"2021","Atlantic provinces","2021A00011","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132315","2.7.6.2","7.3","C","","","1"
"2022","Atlantic provinces","2021A00011","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132315","2.7.6.2","12.1","B","","","1"
"2021","Atlantic provinces","2021A00011","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132317","2.8.6.1","15","D","","","0"
"2022","Atlantic provinces","2021A00011","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132317","2.8.6.1","19","C","","","0"
"2021","Atlantic provinces","2021A00011","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132318","2.8.6.2","5.8","D","","","1"
"2022","Atlantic provinces","2021A00011","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132318","2.8.6.2","7.2","C","","","1"
"2021","Atlantic provinces","2021A00011","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132320","2.9.6.1","108","C","","","0"
"2022","Atlantic provinces","2021A00011","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132320","2.9.6.1","148","B","","","0"
"2021","Atlantic provinces","2021A00011","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132321","2.9.6.2","8.8","C","","","1"
"2022","Atlantic provinces","2021A00011","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132321","2.9.6.2","11.8","B","","","1"
"2021","Atlantic provinces","2021A00011","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132323","2.10.6.1","17","D","","","0"
"2022","Atlantic provinces","2021A00011","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132323","2.10.6.1","25","C","","","0"
"2021","Atlantic provinces","2021A00011","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132324","2.10.6.2","8.3","D","","","1"
"2022","Atlantic provinces","2021A00011","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132324","2.10.6.2","11.8","C","","","1"
"2021","Atlantic provinces","2021A00011","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132326","2.11.6.1","69","C","","","0"
"2022","Atlantic provinces","2021A00011","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132326","2.11.6.1","95","B","","","0"
"2021","Atlantic provinces","2021A00011","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132327","2.11.6.2","9.4","C","","","1"
"2022","Atlantic provinces","2021A00011","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132327","2.11.6.2","12.7","B","","","1"
"2021","Atlantic provinces","2021A00011","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132329","2.12.6.1","22","D","","","0"
"2022","Atlantic provinces","2021A00011","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132329","2.12.6.1","28","C","","","0"
"2021","Atlantic provinces","2021A00011","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132330","2.12.6.2","7.6","D","","","1"
"2022","Atlantic provinces","2021A00011","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132330","2.12.6.2","9.7","C","","","1"
"2021","Atlantic provinces","2021A00011","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132332","2.13.6.1","90","C","","","0"
"2022","Atlantic provinces","2021A00011","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132332","2.13.6.1","150","B","","","0"
"2021","Atlantic provinces","2021A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","4.5","C","","","1"
"2022","Atlantic provinces","2021A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","7.4","B","","","1"
"2021","Atlantic provinces","2021A00011","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132371","2.26.6.1","98","C","","","0"
"2022","Atlantic provinces","2021A00011","Persons not in an economic family","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132371","2.26.6.1","132","B","","","0"
"2021","Atlantic provinces","2021A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","23.0","C","","","1"
"2022","Atlantic provinces","2021A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","30.1","B","","","1"
"2021","Newfoundland and Labrador","2021A000210","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132398","3.1.6.1","42","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132398","3.1.6.1","51","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132399","3.1.6.2","8.1","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132399","3.1.6.2","9.8","B","","","1"
"2021","Newfoundland and Labrador","2021A000210","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132401","3.2.6.1","8","E","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132401","3.2.6.1","9","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132402","3.2.6.2","9.9","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132402","3.2.6.2","11.0","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132404","3.3.6.1","28","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132404","3.3.6.1","35","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132405","3.3.6.2","8.9","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132405","3.3.6.2","11.2","B","","","1"
"2021","Newfoundland and Labrador","2021A000210","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132407","3.4.6.1","6","E","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132407","3.4.6.1","7","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132408","3.4.6.2","4.7","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132408","3.4.6.2","5.5","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132410","3.5.6.1","17","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132410","3.5.6.1","23","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132411","3.5.6.2","6.8","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132411","3.5.6.2","8.9","C","","","1"
"2021","Newfoundland and Labrador","2021A000210","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132413","3.6.6.1","","F","","","0"
"2022","Newfoundland and Labrador","2021A000210","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132413","3.6.6.1","4","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132414","3.6.6.2","7.5","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132414","3.6.6.2","10.2","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132416","3.7.6.1","11","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132416","3.7.6.1","16","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132417","3.7.6.2","7.3","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132417","3.7.6.2","10.2","C","","","1"
"2021","Newfoundland and Labrador","2021A000210","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132419","3.8.6.1","","F","","","0"
"2022","Newfoundland and Labrador","2021A000210","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132419","3.8.6.1","3","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132420","3.8.6.2","4.8","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132420","3.8.6.2","4.7","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132422","3.9.6.1","24","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Females","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132422","3.9.6.1","28","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132423","3.9.6.2","9.4","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132423","3.9.6.2","10.6","C","","","1"
"2021","Newfoundland and Labrador","2021A000210","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132425","3.10.6.1","","F","","","0"
"2022","Newfoundland and Labrador","2021A000210","Females, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132425","3.10.6.1","5","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132426","3.10.6.2","12.5","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Females, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132426","3.10.6.2","11.9","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132428","3.11.6.1","16","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Females, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132428","3.11.6.1","19","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132429","3.11.6.2","10.4","D","","","1"
"2022","Newfoundland and Labrador","2021A000210","Females, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132429","3.11.6.2","12.1","C","","","1"
"2021","Newfoundland and Labrador","2021A000210","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132431","3.12.6.1","","F","","","0"
"2022","Newfoundland and Labrador","2021A000210","Females, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132431","3.12.6.1","4","D","","","0"
"2021","Newfoundland and Labrador","2021A000210","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132432","3.12.6.2","4.6","E","","","1"
"2022","Newfoundland and Labrador","2021A000210","Females, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132432","3.12.6.2","6.2","D","","","1"
"2021","Newfoundland and Labrador","2021A000210","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132434","3.13.6.1","25","D","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons in economic families","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132434","3.13.6.1","26","C","","","0"
