"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","569200","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110788915","1.3.2.15.1","562800","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","311500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110788922","1.3.2.16.1","344700","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949457","1.3.2.28.1","1694900","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949457","1.3.2.28.1","1725800","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949465","1.3.2.29.1","393300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949465","1.3.2.29.1","494200","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Ever used e-cigarette or vaping device","Number of persons","Number","223","units","0","v1574189712","1.3.2.31.1","1802500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Used e-cigarette or vaping device, past 30 days","Number of persons","Number","223","units","0","v1574189720","1.3.2.32.1","629900","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110788929","1.3.2.17.1","999400","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110788929","1.3.2.17.1","1252300","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110788936","1.3.2.18.1","2654500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110788936","1.3.2.18.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110788964","1.3.2.22.1","576600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110788964","1.3.2.22.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110788971","1.3.2.23.1","2624100","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110788971","1.3.2.23.1","2379200","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110788978","1.3.2.24.1","3898600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110788978","1.3.2.24.1","3677700","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110788985","1.3.2.25.1","2996500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110788985","1.3.2.25.1","3008100","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110788992","1.3.2.26.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110788992","1.3.2.26.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340667","1.3.2.27.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340667","1.3.2.27.1","647100","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788999","1.3.3.1.1","2696700","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788999","1.3.3.1.1","2449100","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789006","1.3.3.2.1","310400","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789006","1.3.3.2.1","447800","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110789013","1.3.3.3.1","1839400","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110789013","1.3.3.3.1","1717000","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110789020","1.3.3.4.1","716700","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110789020","1.3.3.4.1","977600","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110789027","1.3.3.5.1","1022900","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110789027","1.3.3.5.1","1107400","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110789034","1.3.3.6.1","927700","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110789034","1.3.3.6.1","813000","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110789041","1.3.3.7.1","812100","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110789041","1.3.3.7.1","974800","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110789055","1.3.3.9.1","108300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110789055","1.3.3.9.1","150300","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Diabetes","Number of persons","Number","223","units","0","v110789062","1.3.3.10.1","58500","E","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Diabetes","Number of persons","Number","223","units","0","v110789062","1.3.3.10.1","","F","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Asthma","Number of persons","Number","223","units","0","v110789069","1.3.3.11.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Asthma","Number of persons","Number","223","units","0","v110789069","1.3.3.11.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110789076","1.3.3.12.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110789076","1.3.3.12.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","High blood pressure","Number of persons","Number","223","units","0","v110789083","1.3.3.13.1","67100","E","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","High blood pressure","Number of persons","Number","223","units","0","v110789083","1.3.3.13.1","84600","E","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Mood disorder","Number of persons","Number","223","units","0","v110789090","1.3.3.14.1","650100","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Mood disorder","Number of persons","Number","223","units","0","v110789090","1.3.3.14.1","777600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Anxiety disorder","Number of persons","Number","223","units","0","v1574189771","1.3.3.30.1","1143900","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","390600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789097","1.3.3.15.1","330200","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110789104","1.3.3.16.1","209600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Current smoker, daily","Number of persons","Number","223","units","0","v110789104","1.3.3.16.1","236000","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949473","1.3.3.28.1","1312200","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949473","1.3.3.28.1","1381300","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949481","1.3.3.29.1","228700","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949481","1.3.3.29.1","290300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Ever used e-cigarette or vaping device","Number of persons","Number","223","units","0","v1574189779","1.3.3.31.1","1339000","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Used e-cigarette or vaping device, past 30 days","Number of persons","Number","223","units","0","v1574189787","1.3.3.32.1","465900","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Heavy drinking","Number of persons","Number","223","units","0","v110789111","1.3.3.17.1","692600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Heavy drinking","Number of persons","Number","223","units","0","v110789111","1.3.3.17.1","1018100","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110789118","1.3.3.18.1","2310200","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110789118","1.3.3.18.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110789132","1.3.3.20.1","761300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110789132","1.3.3.20.1","817700","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110789139","1.3.3.21.1","285300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110789139","1.3.3.21.1","278300","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110789146","1.3.3.22.1","856800","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110789146","1.3.3.22.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110789153","1.3.3.23.1","2627500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110789153","1.3.3.23.1","2417500","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110789160","1.3.3.24.1","3777800","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110789160","1.3.3.24.1","3503600","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110789167","1.3.3.25.1","3357400","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110789167","1.3.3.25.1","3427000","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110789174","1.3.3.26.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110789174","1.3.3.26.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Females","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340675","1.3.3.27.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Females","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340675","1.3.3.27.1","1037900","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110789363","1.4.2.1.1","2255200","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110789363","1.4.2.1.1","2273700","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789370","1.4.2.2.1","306400","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789370","1.4.2.2.1","383600","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110789377","1.4.2.3.1","2213900","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110789377","1.4.2.3.1","2130100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110789384","1.4.2.4.1","417800","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110789384","1.4.2.4.1","494500","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110789391","1.4.2.5.1","922400","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110789391","1.4.2.5.1","1007100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110789398","1.4.2.6.1","1461700","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110789398","1.4.2.6.1","1526700","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110789405","1.4.2.7.1","1201300","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110789405","1.4.2.7.1","1258100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110789419","1.4.2.9.1","295600","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110789419","1.4.2.9.1","356300","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Diabetes","Number of persons","Number","223","units","0","v110789426","1.4.2.10.1","178800","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Diabetes","Number of persons","Number","223","units","0","v110789426","1.4.2.10.1","166100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Asthma","Number of persons","Number","223","units","0","v110789433","1.4.2.11.1","","..","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Asthma","Number of persons","Number","223","units","0","v110789433","1.4.2.11.1","","..","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110789440","1.4.2.12.1","","..","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110789440","1.4.2.12.1","","..","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110789447","1.4.2.13.1","401800","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110789447","1.4.2.13.1","442000","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110789454","1.4.2.14.1","289100","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110789454","1.4.2.14.1","341600","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Anxiety disorder","Number of persons","Number","223","units","0","v1574189919","1.4.2.30.1","392500","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789461","1.4.2.15.1","590800","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110789461","1.4.2.15.1","626900","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110789468","1.4.2.16.1","378700","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110789468","1.4.2.16.1","454700","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949505","1.4.2.28.1","1028600","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949505","1.4.2.28.1","1124300","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949513","1.4.2.29.1","316500","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949513","1.4.2.29.1","363300","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Ever used e-cigarette or vaping device","Number of persons","Number","223","units","0","v1574189927","1.4.2.31.1","925200","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Used e-cigarette or vaping device, past 30 days","Number of persons","Number","223","units","0","v1574189935","1.4.2.32.1","234100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110789475","1.4.2.17.1","836300","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Heavy drinking","Number of persons","Number","223","units","0","v110789475","1.4.2.17.1","1090600","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110789482","1.4.2.18.1","2186900","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110789482","1.4.2.18.1","","..","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110789510","1.4.2.22.1","721700","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110789510","1.4.2.22.1","","..","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110789517","1.4.2.23.1","2365400","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110789517","1.4.2.23.1","2262100","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110789524","1.4.2.24.1","3327000","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110789524","1.4.2.24.1","3208200","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110789531","1.4.2.25.1","2888400","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110789531","1.4.2.25.1","2966500","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110789538","1.4.2.26.1","","..","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110789538","1.4.2.26.1","","..","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340691","1.4.2.27.1","","..","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Males","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123340691","1.4.2.27.1","812500","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110789545","1.4.3.1.1","2252400","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110789545","1.4.3.1.1","2086200","","","","0"
"2021","Canada (excluding territories)","","35 to 49 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789552","1.4.3.2.1","335600","","","","0"
"2022","Canada (excluding territories)","","35 to 49 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110789552","1.4.3.2.1","486000","","","","0"
